Business Name,Category,Address,Phone,Email,Website URL,Website Status,Notes
N1,olíufélag,"Dalvegi 10-14, 200 Kópavogi",4401100,n1@n1.is,https://www.n1.is/stodin-min,SSL Error,
AM Vélvirki minn 24/7 ehf,bílaviðgerðir,"Hafnarbraut 10, 620 Dalvík",7663059,amvevirkiminn@gmail.com,,No Website,
Nicolai bílastillingar,bílaverkstæði,"Faxafeni 12, 108 Reykjavík",5882455,,https://www.nikki.is/,Aging,
Bílaréttingar Sævars ehf,bílaverkstæði,"Skútuvogi 4, 104 Reykjavík",8421502,bilarettingar@bilarettingar.is,http://bilaretting.is/,Modern,
Toyota Kauptúni,bílasala,"Kauptúni 6, 210 Garðabæ",5705400,info@toyota.is,http://www.toyotakauptuni.is/,Modern,
Drífa þjónusta | Dekk og dekkjaskipti,dekkjasala,"Suðurlandsbraut 30, 108 Reykjavík",4156463,drifa@drifa.is,https://drifa.is/,Modern,
Bílalökkun Kópsson ehf,"bílaverkstæði, bílaréttingar, bílamálun","Völuteigi 11, 270 Mosfellsbæ",5868484,bilalokkun@bilalokkun.is,https://kopsson.is/,Error: ReadTimeout,
Réttingaverkstæði Jóa ehf,bílaverkstæði,"Dalvegi 16a, 201 Kópavogi",5645255,rettjoa@rettjoa.is,https://rettjoa.is/,Modern,
Ísland Bílaviðgerðir ehf,bílaverkstæði,"Smiðjuvegi 4e, 200 Kópavogi",4541000,bilavidgerdir.is@gmail.com,https://www.islandbilavidgerdir.is/,Aging,
Pústþjónusta BJB ehf,"bílaverkstæði, smurstöð, pústverkstæði","Flatahrauni 7, 220 Hafnarfirði",5651090,bjb@bjb.is,http://bjb.is/,Modern,
BL rétting og málun,vottuð tjónaviðgerðarþjónusta,"Viðarhöfða 4, 110 Reykjavík",5259010,,https://www.bl.is/thjonusta/rettingaverkstaedi/,Modern,
ALP-GÁK bílaverkstæði ehf,"bílaverkstæði, bílaréttingar","Skemmuvegi 20, 200 Kópavogi",5670770,alpretting@simnet.is,https://www.alpgak.is/,Aging,
Réttingaþjónustan ehf,bílaverkstæði,"Smiðjuvegi 40, gul gata, 200 Kópavogi",5576333,rettingathjonustan@rettingathjonustan.is,http://rettingathjonustan.is,Modern,
Púst hjá Einari Bílaviðhald,pústverkstæði,"Smiðjuvegi 50, rauð gata, 200 Kópavogi",5640950,pustehf@gmail.com,http://www.pustkerfi.is/,Old/Outdated,
Klettur - sala og þjónusta ehf,"bílaverkstæði, smurstöð, hjólbarðaverkstæði, varahlutaverslun","Klettagörðum 8-10, 104 Reykjavík",5905220,,https://www.klettur.is/dekkjaskipti/,Modern,
Vaka hf,hjólbarðaverkstæði,"Héðinsgötu 2, 105 Reykjavík",5676700,flutningar@vaka.is,https://vaka.is/,Modern,
Kvikk þjónustan,"pústverkstæði, varahlutaverslun","Tangarhöfða 15, 110 Reykjavík",5200600,kvikk@kvikk.is,http://kvikk.is/,Modern,
Bíl - Pro ehf,bílaréttingar,"Viðarhöfða 6, 110 Reykjavík",5551260,bilpro@bilpro.is,https://bilpro.is/,Modern,
Bíljöfur ehf bifreiðaverkstæði,bílaverkstæði,"Flugumýri 16a, 270 Mosfellsbæ",5445151,biljofur@biljofur.is,http://biljofur.is/,Aging,
Hyundai,"bílaverkstæði, bílaréttingar, bílaumboð","Kauptúni 1, 210 Garðabæ",5751200,bl@bl.is,https://www.bl.is/,Modern,
Bifreiðaverkstæði Friðriks Ólafssonar ehf,bílaverkstæði,"Smiðjuvegi 22, græn gata, 200 Kópavogi",5677360,bfo@bfo.is,http://www.bfo.is/,Aging,
